真实值_第1小时,预测值_第1小时,真实值_第2小时,预测值_第2小时,真实值_第3小时,预测值_第3小时
4.6,4.504279,4.4,4.4171267,4.4,4.3110304
4.4,4.4154625,4.4,4.3242683,4.2,4.238637
4.4,4.246422,4.2,4.206229,4.2,4.1809587
4.2,4.2435284,4.2,4.2896976,4.4,4.352118
4.2,4.168324,4.4,4.3183794,4.6,4.459428
4.4,4.2961736,4.6,4.4812927,4.7,4.604439
4.6,4.4621644,4.7,4.575735,4.8,4.63162
4.7,4.6012373,4.8,4.597157,4.7,4.53796
4.8,4.6112885,4.7,4.5618916,4.6,4.4714055
4.7,4.5823174,4.6,4.4958577,4.5,4.3756084
4.6,4.5412307,4.5,4.449303,4.4,4.328278
4.5,4.427762,4.4,4.333911,4.3,4.2493715
4.4,4.3385134,4.3,4.2487903,4.2,4.1800756
4.3,4.2540193,4.2,4.1810484,4.1,4.126948
4.2,4.1827188,4.1,4.153614,4.2,4.1393027
4.1,4.1135488,4.2,4.137724,4.6,4.2931566
4.2,4.1752405,4.6,4.3802867,4.9,4.5439997
4.6,4.3808804,4.9,4.5594463,5.0,4.672451
4.9,4.6433067,5.0,4.7543354,5.1000004,4.7956944
5.0,4.842618,5.1000004,4.822996,5.0,4.7740836
5.1000004,4.7949996,5.0,4.737781,4.8,4.6494775
5.0,4.7683682,4.8,4.675866,4.7,4.5507774
4.8,4.7238965,4.7,4.6382194,4.6,4.5143847
4.7,4.549656,4.6,4.453619,4.5,4.331989
4.6,4.4614806,4.5,4.3686867,4.3,4.274623
4.5,4.401369,4.3,4.301141,4.2,4.2091107
4.3,4.3127565,4.2,4.2254558,4.2,4.160701
4.2,4.182255,4.2,4.169329,4.2,4.1838417
4.2,4.09399,4.2,4.1095133,4.4,4.280883
4.2,4.1877174,4.4,4.348684,4.6,4.490756
4.4,4.274571,4.6,4.423018,4.7,4.5263133
4.6,4.447978,4.7,4.527703,4.6,4.5527606
4.7,4.5701766,4.6,4.5520587,4.6,4.491718
4.6,4.540803,4.6,4.4747763,4.4,4.3777804
4.6,4.448551,4.4,4.365257,4.4,4.2769995
4.4,4.4158425,4.4,4.3241534,4.3,4.2423353
4.4,4.279914,4.3,4.1856947,4.2,4.1151247
4.3,4.258885,4.2,4.1733875,4.1,4.1101766
4.2,4.178669,4.1,4.1151114,4.1,4.074414
4.1,4.1001806,4.1,4.0910325,4.4,4.1201735
4.1,4.0925913,4.4,4.2081943,4.7,4.370329
4.4,4.1938004,4.7,4.374384,4.9,4.5215545
4.7,4.4634476,4.9,4.5981607,5.0,4.673079
4.9,4.675009,5.0,4.7200837,4.9,4.7229037
5.0,4.78636,4.9,4.7539506,4.9,4.687995
